"","ST","DATE","UR","State","Crisis","Months"
"3678","MI",2008-12-01,10.1,"Michigan","Subprime mortgage",11
"3679","MI",2009-01-01,10.9,"Michigan","Subprime mortgage",12
"3680","MI",2009-02-01,11.8,"Michigan","Subprime mortgage",13
"3681","MI",2009-03-01,12.5,"Michigan","Subprime mortgage",14
"3682","MI",2009-04-01,13.1,"Michigan","Subprime mortgage",15
"3683","MI",2009-05-01,13.6,"Michigan","Subprime mortgage",16
"3684","MI",2009-06-01,14,"Michigan","Subprime mortgage",17
"3685","MI",2009-07-01,14,"Michigan","Subprime mortgage",18
"3686","MI",2009-08-01,13.8,"Michigan","Subprime mortgage",19
"3687","MI",2009-09-01,13.7,"Michigan","Subprime mortgage",20
"3688","MI",2009-10-01,13.5,"Michigan","Subprime mortgage",21
"3689","MI",2009-11-01,13.4,"Michigan","Subprime mortgage",22
"3690","MI",2009-12-01,13.3,"Michigan","Subprime mortgage",23
"3691","MI",2010-01-01,13.2,"Michigan","Subprime mortgage",24
"3692","MI",2010-02-01,13.1,"Michigan","Subprime mortgage",25
"3693","MI",2010-03-01,12.9,"Michigan","Subprime mortgage",26
"3694","MI",2010-04-01,12.7,"Michigan","Subprime mortgage",27
"3695","MI",2010-05-01,12.5,"Michigan","Subprime mortgage",28
"3696","MI",2010-06-01,12.4,"Michigan","Subprime mortgage",29
"3697","MI",2010-07-01,12.3,"Michigan","Subprime mortgage",30
"3698","MI",2010-08-01,12,"Michigan","Subprime mortgage",31
"3699","MI",2010-09-01,11.7,"Michigan","Subprime mortgage",32
"3700","MI",2010-10-01,11.5,"Michigan","Subprime mortgage",33
"3701","MI",2010-11-01,11.2,"Michigan","Subprime mortgage",34
"3702","MI",2010-12-01,10.8,"Michigan","Subprime mortgage",35
"3750","MN",2008-01-01,4.7,"Minnesota","Subprime mortgage",0
"3751","MN",2008-04-01,4.9,"Minnesota","Subprime mortgage",3
"3752","MN",2008-05-01,5.1,"Minnesota","Subprime mortgage",4
"3753","MN",2008-02-01,4.7,"Minnesota","Subprime mortgage",1
"3754","MN",2008-03-01,4.8,"Minnesota","Subprime mortgage",2
"3755","MN",2008-08-01,5.6,"Minnesota","Subprime mortgage",7
"3756","MN",2008-09-01,5.7,"Minnesota","Subprime mortgage",8
"3757","MN",2008-10-01,6,"Minnesota","Subprime mortgage",9
"3758","MN",2008-11-01,6.3,"Minnesota","Subprime mortgage",10
"3759","MN",2008-12-01,6.7,"Minnesota","Subprime mortgage",11
"3760","MN",2009-01-01,7.2,"Minnesota","Subprime mortgage",12
"3761","MN",2009-02-01,7.6,"Minnesota","Subprime mortgage",13
"3762","MN",2009-03-01,7.9,"Minnesota","Subprime mortgage",14
"3763","MN",2009-04-01,8.1,"Minnesota","Subprime mortgage",15
"3764","MN",2009-05-01,8.2,"Minnesota","Subprime mortgage",16
"3765","MN",2009-06-01,8.2,"Minnesota","Subprime mortgage",17
"3766","MN",2008-06-01,5.3,"Minnesota","Subprime mortgage",5
"3767","MN",2008-07-01,5.4,"Minnesota","Subprime mortgage",6
"3768","MN",2009-09-01,8,"Minnesota","Subprime mortgage",20
"3769","MN",2009-10-01,7.9,"Minnesota","Subprime mortgage",21
"3770","MN",2009-11-01,7.9,"Minnesota","Subprime mortgage",22
"3771","MN",2009-12-01,7.8,"Minnesota","Subprime mortgage",23
"3772","MN",2010-01-01,7.8,"Minnesota","Subprime mortgage",24
"3773","MN",2010-02-01,7.7,"Minnesota","Subprime mortgage",25
"3774","MN",2010-03-01,7.6,"Minnesota","Subprime mortgage",26
"3775","MN",2010-04-01,7.5,"Minnesota","Subprime mortgage",27
"3776","MN",2010-05-01,7.4,"Minnesota","Subprime mortgage",28
"3777","MN",2010-06-01,7.3,"Minnesota","Subprime mortgage",29
"3778","MN",2010-07-01,7.2,"Minnesota","Subprime mortgage",30
"3779","MN",2009-07-01,8.1,"Minnesota","Subprime mortgage",18
"3780","MN",2009-08-01,8,"Minnesota","Subprime mortgage",19
"3781","MN",2010-10-01,7.3,"Minnesota","Subprime mortgage",33
"3782","MN",2010-11-01,7.2,"Minnesota","Subprime mortgage",34
"3783","MN",2010-12-01,7.1,"Minnesota","Subprime mortgage",35
"3819","MN",2010-08-01,7.3,"Minnesota","Subprime mortgage",31
"3820","MN",2010-09-01,7.3,"Minnesota","Subprime mortgage",32
"3913","MO",2010-06-01,9.4,"Missouri","Subprime mortgage",29
"3941","MO",2010-07-01,9.4,"Missouri","Subprime mortgage",30
"3942","MO",2010-08-01,9.4,"Missouri","Subprime mortgage",31
"3943","MO",2010-09-01,9.4,"Missouri","Subprime mortgage",32
"3944","MO",2010-10-01,9.5,"Missouri","Subprime mortgage",33
"3945","MO",2010-11-01,9.5,"Missouri","Subprime mortgage",34
"3946","MO",2010-12-01,9.4,"Missouri","Subprime mortgage",35
"4035","MO",2008-01-01,5.4,"Missouri","Subprime mortgage",0
"4036","MO",2008-02-01,5.4,"Missouri","Subprime mortgage",1
"4037","MO",2008-03-01,5.5,"Missouri","Subprime mortgage",2
"4038","MO",2008-04-01,5.6,"Missouri","Subprime mortgage",3
"4039","MO",2008-05-01,5.8,"Missouri","Subprime mortgage",4
"4040","MO",2008-06-01,6,"Missouri","Subprime mortgage",5
"4041","MO",2008-07-01,6.2,"Missouri","Subprime mortgage",6
"4042","MO",2008-08-01,6.4,"Missouri","Subprime mortgage",7
"4043","MO",2008-09-01,6.6,"Missouri","Subprime mortgage",8
"4044","MO",2008-10-01,6.9,"Missouri","Subprime mortgage",9
"4045","MO",2008-11-01,7.2,"Missouri","Subprime mortgage",10
"4046","MO",2008-12-01,7.6,"Missouri","Subprime mortgage",11
"4047","MO",2009-01-01,8,"Missouri","Subprime mortgage",12
"4048","MO",2009-02-01,8.3,"Missouri","Subprime mortgage",13
"4049","MO",2009-03-01,8.6,"Missouri","Subprime mortgage",14
"4050","MO",2009-04-01,8.9,"Missouri","Subprime mortgage",15
"4051","MO",2009-05-01,9,"Missouri","Subprime mortgage",16
"4052","MO",2009-06-01,9.1,"Missouri","Subprime mortgage",17
"4053","MO",2009-07-01,9.2,"Missouri","Subprime mortgage",18
"4054","MO",2009-08-01,9.3,"Missouri","Subprime mortgage",19
"4055","MO",2009-09-01,9.4,"Missouri","Subprime mortgage",20
"4056","MO",2009-10-01,9.4,"Missouri","Subprime mortgage",21
"4057","MO",2009-11-01,9.5,"Missouri","Subprime mortgage",22
"4058","MO",2009-12-01,9.6,"Missouri","Subprime mortgage",23
"4059","MO",2010-01-01,9.7,"Missouri","Subprime mortgage",24
"4060","MO",2010-02-01,9.7,"Missouri","Subprime mortgage",25
"4061","MO",2010-03-01,9.6,"Missouri","Subprime mortgage",26
"4074","MO",2010-04-01,9.6,"Missouri","Subprime mortgage",27
"4075","MO",2010-05-01,9.5,"Missouri","Subprime mortgage",28
"4076","MS",2008-02-01,6.1,"Mississippi","Subprime mortgage",1
"4077","MS",2008-03-01,6.1,"Mississippi","Subprime mortgage",2
"4078","MS",2008-01-01,6,"Mississippi","Subprime mortgage",0
"4079","MS",2008-06-01,6.6,"Mississippi","Subprime mortgage",5
"4080","MS",2008-07-01,6.8,"Mississippi","Subprime mortgage",6
"4081","MS",2008-08-01,6.9,"Mississippi","Subprime mortgage",7
"4082","MS",2008-09-01,7,"Mississippi","Subprime mortgage",8
"4083","MS",2008-10-01,7.2,"Mississippi","Subprime mortgage",9
"4084","MS",2008-11-01,7.4,"Mississippi","Subprime mortgage",10
"4085","MS",2008-12-01,7.7,"Mississippi","Subprime mortgage",11
"4086","MS",2009-01-01,8.1,"Mississippi","Subprime mortgage",12
"4087","MS",2009-02-01,8.5,"Mississippi","Subprime mortgage",13
"4088","MS",2009-03-01,8.8,"Mississippi","Subprime mortgage",14
"4089","MS",2009-04-01,9,"Mississippi","Subprime mortgage",15
"4090","MS",2008-04-01,6.3,"Mississippi","Subprime mortgage",3
"4091","MS",2008-05-01,6.4,"Mississippi","Subprime mortgage",4
"4092","MS",2009-07-01,9.4,"Mississippi","Subprime mortgage",18
"4093","MS",2009-08-01,9.6,"Mississippi","Subprime mortgage",19
"4094","MS",2009-09-01,9.8,"Mississippi","Subprime mortgage",20
"4095","MS",2009-10-01,10,"Mississippi","Subprime mortgage",21
"4096","MS",2009-11-01,10.2,"Mississippi","Subprime mortgage",22
"4097","MS",2009-12-01,10.4,"Mississippi","Subprime mortgage",23
"4098","MS",2010-01-01,10.5,"Mississippi","Subprime mortgage",24
"4099","MS",2010-02-01,10.5,"Mississippi","Subprime mortgage",25
"4100","MS",2010-03-01,10.4,"Mississippi","Subprime mortgage",26
"4101","MS",2010-04-01,10.4,"Mississippi","Subprime mortgage",27
"4102","MS",2010-05-01,10.3,"Mississippi","Subprime mortgage",28
"4103","MS",2009-05-01,9.2,"Mississippi","Subprime mortgage",16
"4104","MS",2009-06-01,9.3,"Mississippi","Subprime mortgage",17
"4186","MS",2010-06-01,9.9,"Mississippi","Subprime mortgage",29
"4187","MS",2010-07-01,9.8,"Mississippi","Subprime mortgage",30
"4188","MS",2010-08-01,9.8,"Mississippi","Subprime mortgage",31
"4189","MS",2010-09-01,9.8,"Mississippi","Subprime mortgage",32
"4190","MS",2010-10-01,9.8,"Mississippi","Subprime mortgage",33
"4191","MS",2010-11-01,9.9,"Mississippi","Subprime mortgage",34
"4192","MS",2010-12-01,9.9,"Mississippi","Subprime mortgage",35
"4239","MT",2008-01-01,3.8,"Montana","Subprime mortgage",0
"4240","MT",2008-02-01,3.9,"Montana","Subprime mortgage",1
"4241","MT",2008-05-01,4.3,"Montana","Subprime mortgage",4
"4242","MT",2008-06-01,4.5,"Montana","Subprime mortgage",5
"4243","MT",2008-07-01,4.7,"Montana","Subprime mortgage",6
"4244","MT",2008-08-01,4.9,"Montana","Subprime mortgage",7
"4245","MT",2008-09-01,5.1,"Montana","Subprime mortgage",8
"4246","MT",2008-10-01,5.4,"Montana","Subprime mortgage",9
"4247","MT",2008-11-01,5.8,"Montana","Subprime mortgage",10
"4248","MT",2008-12-01,6.2,"Montana","Subprime mortgage",11
"4249","MT",2009-01-01,6.6,"Montana","Subprime mortgage",12
"4250","MT",2009-02-01,6.9,"Montana","Subprime mortgage",13
"4251","MT",2009-03-01,7.1,"Montana","Subprime mortgage",14
"4252","MT",2008-03-01,4,"Montana","Subprime mortgage",2
"4253","MT",2008-04-01,4.1,"Montana","Subprime mortgage",3
"4254","MT",2009-06-01,7.2,"Montana","Subprime mortgage",17
"4255","MT",2009-07-01,7.1,"Montana","Subprime mortgage",18
"4256","MT",2009-08-01,7.1,"Montana","Subprime mortgage",19
"4257","MT",2009-09-01,7.1,"Montana","Subprime mortgage",20
"4258","MT",2009-10-01,7.2,"Montana","Subprime mortgage",21
"4259","MT",2009-11-01,7.3,"Montana","Subprime mortgage",22
"4260","MT",2009-12-01,7.4,"Montana","Subprime mortgage",23
"4261","MT",2010-01-01,7.5,"Montana","Subprime mortgage",24
"4262","MT",2010-02-01,7.5,"Montana","Subprime mortgage",25
"4263","MT",2010-03-01,7.4,"Montana","Subprime mortgage",26
"4264","MT",2010-04-01,7.4,"Montana","Subprime mortgage",27
"4265","MT",2009-04-01,7.2,"Montana","Subprime mortgage",15
"4266","MT",2009-05-01,7.2,"Montana","Subprime mortgage",16
"4267","MT",2010-07-01,7,"Montana","Subprime mortgage",30
"4268","MT",2010-08-01,7,"Montana","Subprime mortgage",31
"4269","MT",2010-09-01,7,"Montana","Subprime mortgage",32
"4270","MT",2010-10-01,7,"Montana","Subprime mortgage",33
"4271","MT",2010-11-01,7.1,"Montana","Subprime mortgage",34
"4272","MT",2010-12-01,7,"Montana","Subprime mortgage",35
"4305","MT",2010-05-01,7.2,"Montana","Subprime mortgage",28
"4306","MT",2010-06-01,7.1,"Montana","Subprime mortgage",29
"4402","NC",2008-02-01,5.2,"North Carolina","Subprime mortgage",1
"4403","NC",2008-03-01,5.2,"North Carolina","Subprime mortgage",2
"4404","NC",2008-01-01,5.2,"North Carolina","Subprime mortgage",0
"4405","NC",2008-06-01,5.7,"North Carolina","Subprime mortgage",5
"4406","NC",2008-07-01,5.8,"North Carolina","Subprime mortgage",6
"4407","NC",2008-04-01,5.3,"North Carolina","Subprime mortgage",3
"4408","NC",2008-05-01,5.5,"North Carolina","Subprime mortgage",4
"4409","NC",2008-10-01,6.3,"North Carolina","Subprime mortgage",9
"4410","NC",2008-11-01,8.6,"North Carolina","Subprime mortgage",10
"4411","NC",2008-12-01,9.6,"North Carolina","Subprime mortgage",11
"4412","NC",2009-01-01,10.2,"North Carolina","Subprime mortgage",12
"4413","NC",2009-02-01,10.8,"North Carolina","Subprime mortgage",13
"4414","NC",2009-03-01,11.2,"North Carolina","Subprime mortgage",14
"4415","NC",2009-04-01,11.4,"North Carolina","Subprime mortgage",15
"4416","NC",2009-05-01,11.4,"North Carolina","Subprime mortgage",16
"4417","NC",2009-06-01,11.3,"North Carolina","Subprime mortgage",17
"4418","NC",2009-07-01,11.2,"North Carolina","Subprime mortgage",18
"4419","NC",2009-08-01,11,"North Carolina","Subprime mortgage",19
"4420","NC",2008-08-01,6,"North Carolina","Subprime mortgage",7
"4421","NC",2008-09-01,6.1,"North Carolina","Subprime mortgage",8
"4502","NC",2009-09-01,10.9,"North Carolina","Subprime mortgage",20
"4503","NC",2009-10-01,10.9,"North Carolina","Subprime mortgage",21
"4504","NC",2009-11-01,11,"North Carolina","Subprime mortgage",22
"4505","NC",2009-12-01,11.1,"North Carolina","Subprime mortgage",23
"4506","NC",2010-01-01,11.2,"North Carolina","Subprime mortgage",24
"4507","NC",2010-02-01,11.2,"North Carolina","Subprime mortgage",25
"4508","NC",2010-03-01,11.2,"North Carolina","Subprime mortgage",26
"4509","NC",2010-04-01,11,"North Carolina","Subprime mortgage",27
"4510","NC",2010-05-01,10.8,"North Carolina","Subprime mortgage",28
"4511","NC",2010-06-01,10.6,"North Carolina","Subprime mortgage",29
"4512","NC",2010-07-01,10.4,"North Carolina","Subprime mortgage",30
"4513","NC",2010-08-01,10.4,"North Carolina","Subprime mortgage",31
"4514","NC",2010-09-01,10.4,"North Carolina","Subprime mortgage",32
"4515","NC",2010-10-01,10.4,"North Carolina","Subprime mortgage",33
"4516","NC",2010-11-01,10.5,"North Carolina","Subprime mortgage",34
"4517","NC",2010-12-01,10.5,"North Carolina","Subprime mortgage",35
"4583","ND",2009-09-01,3.9,"North Dakota","Subprime mortgage",20
"4584","ND",2009-10-01,3.9,"North Dakota","Subprime mortgage",21
"4585","ND",2009-11-01,3.9,"North Dakota","Subprime mortgage",22
"4586","ND",2009-12-01,3.9,"North Dakota","Subprime mortgage",23
"4587","ND",2010-01-01,3.9,"North Dakota","Subprime mortgage",24
"4588","ND",2010-02-01,3.9,"North Dakota","Subprime mortgage",25
"4589","ND",2010-03-01,3.9,"North Dakota","Subprime mortgage",26
"4590","ND",2010-04-01,3.8,"North Dakota","Subprime mortgage",27
"4591","ND",2010-05-01,3.7,"North Dakota","Subprime mortgage",28
"4592","ND",2010-06-01,3.7,"North Dakota","Subprime mortgage",29
"4593","ND",2010-07-01,3.6,"North Dakota","Subprime mortgage",30
"4594","ND",2010-08-01,3.6,"North Dakota","Subprime mortgage",31
"4595","ND",2010-09-01,3.6,"North Dakota","Subprime mortgage",32
"4596","ND",2010-10-01,3.6,"North Dakota","Subprime mortgage",33
"4597","ND",2010-11-01,3.5,"North Dakota","Subprime mortgage",34
"4598","ND",2010-12-01,3.5,"North Dakota","Subprime mortgage",35
"4686","ND",2008-01-01,2.9,"North Dakota","Subprime mortgage",0
"4687","ND",2008-02-01,2.8,"North Dakota","Subprime mortgage",1
"4688","ND",2008-03-01,2.8,"North Dakota","Subprime mortgage",2
"4689","ND",2008-04-01,2.9,"North Dakota","Subprime mortgage",3
"4690","ND",2008-05-01,3,"North Dakota","Subprime mortgage",4
"4691","ND",2008-06-01,3.1,"North Dakota","Subprime mortgage",5
"4692","ND",2008-07-01,3.1,"North Dakota","Subprime mortgage",6
"4693","ND",2008-08-01,3.2,"North Dakota","Subprime mortgage",7
"4694","ND",2008-09-01,3.2,"North Dakota","Subprime mortgage",8
"4695","ND",2008-10-01,3.3,"North Dakota","Subprime mortgage",9
"4696","ND",2008-11-01,3.4,"North Dakota","Subprime mortgage",10
"4697","ND",2008-12-01,3.6,"North Dakota","Subprime mortgage",11
"4698","ND",2009-01-01,3.8,"North Dakota","Subprime mortgage",12
"4699","ND",2009-02-01,3.9,"North Dakota","Subprime mortgage",13
"4700","ND",2009-03-01,4,"North Dakota","Subprime mortgage",14
"4701","ND",2009-04-01,4,"North Dakota","Subprime mortgage",15
"4702","ND",2009-05-01,4,"North Dakota","Subprime mortgage",16
"4703","ND",2009-06-01,3.9,"North Dakota","Subprime mortgage",17
"4726","ND",2009-07-01,3.9,"North Dakota","Subprime mortgage",18
"4727","ND",2009-08-01,3.9,"North Dakota","Subprime mortgage",19
"4808","NE",2008-01-01,2.9,"Nebraska","Subprime mortgage",0
"4809","NE",2008-02-01,2.9,"Nebraska","Subprime mortgage",1
"4810","NE",2008-03-01,3,"Nebraska","Subprime mortgage",2
"4811","NE",2008-04-01,3,"Nebraska","Subprime mortgage",3
"4812","NE",2008-05-01,3.1,"Nebraska","Subprime mortgage",4
"4813","NE",2008-06-01,3.2,"Nebraska","Subprime mortgage",5
"4814","NE",2008-07-01,3.2,"Nebraska","Subprime mortgage",6
"4815","NE",2008-08-01,3.3,"Nebraska","Subprime mortgage",7
"4816","NE",2008-09-01,3.4,"Nebraska","Subprime mortgage",8
"4817","NE",2008-10-01,3.5,"Nebraska","Subprime mortgage",9
"4818","NE",2008-11-01,3.7,"Nebraska","Subprime mortgage",10
"4819","NE",2008-12-01,3.9,"Nebraska","Subprime mortgage",11
"4820","NE",2009-01-01,4.1,"Nebraska","Subprime mortgage",12
"4821","NE",2009-02-01,4.3,"Nebraska","Subprime mortgage",13
"4822","NE",2009-03-01,4.5,"Nebraska","Subprime mortgage",14
"4823","NE",2009-04-01,4.6,"Nebraska","Subprime mortgage",15
"4824","NE",2009-05-01,4.7,"Nebraska","Subprime mortgage",16
"4825","NE",2009-06-01,4.7,"Nebraska","Subprime mortgage",17
"4826","NE",2009-07-01,4.8,"Nebraska","Subprime mortgage",18
"4827","NE",2009-08-01,4.8,"Nebraska","Subprime mortgage",19
"4828","NE",2009-09-01,4.8,"Nebraska","Subprime mortgage",20
"4829","NE",2009-10-01,4.8,"Nebraska","Subprime mortgage",21
"4830","NE",2009-11-01,4.9,"Nebraska","Subprime mortgage",22
"4831","NE",2009-12-01,4.9,"Nebraska","Subprime mortgage",23
"4832","NE",2010-01-01,4.9,"Nebraska","Subprime mortgage",24
"4833","NE",2010-02-01,4.9,"Nebraska","Subprime mortgage",25
"4876","NE",2010-04-01,4.8,"Nebraska","Subprime mortgage",27
"4877","NE",2010-05-01,4.7,"Nebraska","Subprime mortgage",28
"4878","NE",2010-06-01,4.6,"Nebraska","Subprime mortgage",29
"4879","NE",2010-07-01,4.6,"Nebraska","Subprime mortgage",30
"4880","NE",2010-08-01,4.6,"Nebraska","Subprime mortgage",31
"4881","NE",2010-09-01,4.6,"Nebraska","Subprime mortgage",32
"4882","NE",2010-10-01,4.6,"Nebraska","Subprime mortgage",33
"4883","NE",2010-11-01,4.6,"Nebraska","Subprime mortgage",34
"4884","NE",2010-12-01,4.6,"Nebraska","Subprime mortgage",35
"4890","NE",2010-03-01,4.9,"Nebraska","Subprime mortgage",26
"4971","NH",2008-01-01,3.4,"New Hampshire","Subprime mortgage",0
"4972","NH",2008-02-01,3.4,"New Hampshire","Subprime mortgage",1
"4973","NH",2008-03-01,3.4,"New Hampshire","Subprime mortgage",2
"4974","NH",2008-04-01,3.5,"New Hampshire","Subprime mortgage",3
"4975","NH",2008-05-01,3.5,"New Hampshire","Subprime mortgage",4
"4976","NH",2008-06-01,3.6,"New Hampshire","Subprime mortgage",5
"4977","NH",2008-07-01,3.7,"New Hampshire","Subprime mortgage",6
"4978","NH",2008-08-01,3.8,"New Hampshire","Subprime mortgage",7
"4979","NH",2008-09-01,3.9,"New Hampshire","Subprime mortgage",8
"4980","NH",2008-10-01,4.1,"New Hampshire","Subprime mortgage",9
"4981","NH",2008-11-01,4.3,"New Hampshire","Subprime mortgage",10
"4982","NH",2008-12-01,4.6,"New Hampshire","Subprime mortgage",11
"4983","NH",2009-01-01,5,"New Hampshire","Subprime mortgage",12
"4984","NH",2009-02-01,5.3,"New Hampshire","Subprime mortgage",13
"4985","NH",2009-03-01,5.7,"New Hampshire","Subprime mortgage",14
"4986","NH",2009-04-01,5.9,"New Hampshire","Subprime mortgage",15
"4987","NH",2009-05-01,6.1,"New Hampshire","Subprime mortgage",16
"4988","NH",2009-06-01,6.3,"New Hampshire","Subprime mortgage",17
"4989","NH",2009-07-01,6.4,"New Hampshire","Subprime mortgage",18
"4990","NH",2009-08-01,6.5,"New Hampshire","Subprime mortgage",19
"4991","NH",2009-09-01,6.5,"New Hampshire","Subprime mortgage",20
"4992","NH",2009-10-01,6.6,"New Hampshire","Subprime mortgage",21
"4993","NH",2009-11-01,6.7,"New Hampshire","Subprime mortgage",22
"4994","NH",2009-12-01,6.7,"New Hampshire","Subprime mortgage",23
"4995","NH",2010-01-01,6.7,"New Hampshire","Subprime mortgage",24
"4996","NH",2010-02-01,6.6,"New Hampshire","Subprime mortgage",25
"4997","NH",2010-03-01,6.5,"New Hampshire","Subprime mortgage",26
"4998","NH",2010-04-01,6.3,"New Hampshire","Subprime mortgage",27
"4999","NH",2010-05-01,6.1,"New Hampshire","Subprime mortgage",28
"5000","NH",2010-06-01,6,"New Hampshire","Subprime mortgage",29
"5001","NH",2010-07-01,5.9,"New Hampshire","Subprime mortgage",30
"5002","NH",2010-08-01,5.8,"New Hampshire","Subprime mortgage",31
"5003","NH",2010-09-01,5.8,"New Hampshire","Subprime mortgage",32
"5004","NH",2010-10-01,5.8,"New Hampshire","Subprime mortgage",33
"5005","NH",2010-11-01,5.8,"New Hampshire","Subprime mortgage",34
"5006","NH",2010-12-01,5.7,"New Hampshire","Subprime mortgage",35
"5054","NJ",2008-01-01,4.6,"New Jersey","Subprime mortgage",0
"5055","NJ",2008-02-01,4.6,"New Jersey","Subprime mortgage",1
"5056","NJ",2008-05-01,5,"New Jersey","Subprime mortgage",4
"5057","NJ",2008-06-01,5.2,"New Jersey","Subprime mortgage",5
"5058","NJ",2008-03-01,4.7,"New Jersey","Subprime mortgage",2
"5059","NJ",2008-04-01,4.8,"New Jersey","Subprime mortgage",3
"5060","NJ",2008-09-01,5.9,"New Jersey","Subprime mortgage",8
"5061","NJ",2008-10-01,6.2,"New Jersey","Subprime mortgage",9
"5062","NJ",2008-07-01,5.4,"New Jersey","Subprime mortgage",6
"5063","NJ",2008-08-01,5.6,"New Jersey","Subprime mortgage",7
"5064","NJ",2009-01-01,7.3,"New Jersey","Subprime mortgage",12
"5065","NJ",2009-02-01,7.8,"New Jersey","Subprime mortgage",13
"5066","NJ",2009-03-01,8.1,"New Jersey","Subprime mortgage",14
"5067","NJ",2009-04-01,8.5,"New Jersey","Subprime mortgage",15
"5068","NJ",2009-05-01,8.7,"New Jersey","Subprime mortgage",16
"5069","NJ",2009-06-01,9,"New Jersey","Subprime mortgage",17
"5070","NJ",2009-07-01,9.2,"New Jersey","Subprime mortgage",18
"5071","NJ",2009-08-01,9.4,"New Jersey","Subprime mortgage",19
"5072","NJ",2009-09-01,9.6,"New Jersey","Subprime mortgage",20
"5073","NJ",2009-10-01,9.8,"New Jersey","Subprime mortgage",21
"5074","NJ",2009-11-01,9.9,"New Jersey","Subprime mortgage",22
"5075","NJ",2008-11-01,6.5,"New Jersey","Subprime mortgage",10
"5076","NJ",2008-12-01,6.9,"New Jersey","Subprime mortgage",11
"5156","NJ",2009-12-01,9.9,"New Jersey","Subprime mortgage",23
"5157","NJ",2010-01-01,10,"New Jersey","Subprime mortgage",24
"5158","NJ",2010-02-01,9.9,"New Jersey","Subprime mortgage",25
"5159","NJ",2010-03-01,9.9,"New Jersey","Subprime mortgage",26
"5160","NJ",2010-04-01,9.8,"New Jersey","Subprime mortgage",27
"5161","NJ",2010-05-01,9.7,"New Jersey","Subprime mortgage",28
"5162","NJ",2010-06-01,9.6,"New Jersey","Subprime mortgage",29
"5163","NJ",2010-07-01,9.5,"New Jersey","Subprime mortgage",30
"5164","NJ",2010-08-01,9.5,"New Jersey","Subprime mortgage",31
"5165","NJ",2010-09-01,9.5,"New Jersey","Subprime mortgage",32
"5166","NJ",2010-10-01,9.5,"New Jersey","Subprime mortgage",33
"5167","NJ",2010-11-01,9.5,"New Jersey","Subprime mortgage",34
"5168","NJ",2010-12-01,9.5,"New Jersey","Subprime mortgage",35
"5298","NM",2008-01-01,3.8,"New Mexico","Subprime mortgage",0
"5299","NM",2008-02-01,3.8,"New Mexico","Subprime mortgage",1
"5300","NM",2008-03-01,3.8,"New Mexico","Subprime mortgage",2
"5301","NM",2008-04-01,3.9,"New Mexico","Subprime mortgage",3
"5302","NM",2008-05-01,4,"New Mexico","Subprime mortgage",4
"5303","NM",2008-06-01,4.1,"New Mexico","Subprime mortgage",5
"5304","NM",2008-07-01,4.2,"New Mexico","Subprime mortgage",6
"5305","NM",2008-08-01,4.4,"New Mexico","Subprime mortgage",7
"5306","NM",2008-09-01,4.5,"New Mexico","Subprime mortgage",8
"5307","NM",2008-10-01,4.7,"New Mexico","Subprime mortgage",9
"5308","NM",2008-11-01,5,"New Mexico","Subprime mortgage",10
"5309","NM",2008-12-01,5.4,"New Mexico","Subprime mortgage",11
"5310","NM",2009-01-01,5.8,"New Mexico","Subprime mortgage",12
"5311","NM",2009-02-01,6.2,"New Mexico","Subprime mortgage",13
"5312","NM",2009-03-01,6.6,"New Mexico","Subprime mortgage",14
"5313","NM",2009-04-01,6.9,"New Mexico","Subprime mortgage",15
"5314","NM",2009-05-01,7.1,"New Mexico","Subprime mortgage",16
"5315","NM",2009-06-01,7.3,"New Mexico","Subprime mortgage",17
"5316","NM",2009-07-01,7.3,"New Mexico","Subprime mortgage",18
"5317","NM",2009-08-01,7.4,"New Mexico","Subprime mortgage",19
"5318","NM",2009-09-01,7.4,"New Mexico","Subprime mortgage",20
"5319","NM",2009-10-01,7.5,"New Mexico","Subprime mortgage",21
"5320","NM",2009-11-01,7.5,"New Mexico","Subprime mortgage",22
"5321","NM",2009-12-01,7.6,"New Mexico","Subprime mortgage",23
"5322","NM",2010-01-01,7.8,"New Mexico","Subprime mortgage",24
"5323","NM",2010-02-01,7.8,"New Mexico","Subprime mortgage",25
"5324","NM",2010-03-01,7.9,"New Mexico","Subprime mortgage",26
"5325","NM",2010-04-01,7.9,"New Mexico","Subprime mortgage",27
"5326","NM",2010-05-01,7.9,"New Mexico","Subprime mortgage",28
"5327","NM",2010-06-01,7.8,"New Mexico","Subprime mortgage",29
"5328","NM",2010-07-01,7.8,"New Mexico","Subprime mortgage",30
"5329","NM",2010-08-01,7.8,"New Mexico","Subprime mortgage",31
"5330","NM",2010-09-01,7.8,"New Mexico","Subprime mortgage",32
"5331","NM",2010-10-01,7.7,"New Mexico","Subprime mortgage",33
"5332","NM",2010-11-01,7.6,"New Mexico","Subprime mortgage",34
"5333","NM",2010-12-01,7.5,"New Mexico","Subprime mortgage",35
"5405","NV",2010-04-01,13.8,"Nevada","Subprime mortgage",27
"5406","NV",2010-05-01,13.7,"Nevada","Subprime mortgage",28
"5407","NV",2010-06-01,13.7,"Nevada","Subprime mortgage",29
"5408","NV",2010-07-01,13.7,"Nevada","Subprime mortgage",30
"5409","NV",2010-08-01,13.7,"Nevada","Subprime mortgage",31
"5410","NV",2010-09-01,13.8,"Nevada","Subprime mortgage",32
"5411","NV",2010-10-01,13.9,"Nevada","Subprime mortgage",33
